prop_id,owner_id,exmpt_type_cd,exmpt_subtype_cd,exemption_pct
58444,448019,SNR/DSBL,SA,100.00
58445,464735,SNR/DSBL,SA,100.00
58459,213091,SNR/DSBL,"SA   ",100.00
58469,178043,SNR/DSBL,SA,100.00
58481,181454,SNR/DSBL,SA,100.00
58528,471352,SNR/DSBL,SA,100.00
58552,187147,SNR/DSBL,"SA   ",100.00
58615,105457,U500,,
58616,17693,EX,GOVT,100.00
58617,445147,EX,CIT,100.00
58621,17748,EX,"GOVT ",
58628,17693,EX,GOVT,100.00
58631,27895,EX,"GOVT ",
58639,29474,EX,COM,100.00
58677,47044,EX,"GOVT ",
58680,93668,EX,GOVT,100.00
58712,115994,SNR/DSBL,SA,100.00
58723,213799,SNR/DSBL,SA,100.00
58734,138043,EX,"GOVT ",
58755,447779,SNR/DSBL,SA,100.00
58767,211367,SNR/DSBL,SA,100.00
58774,78605,SNR/DSBL,SB,100.00
58775,194401,SNR/DSBL,"SA   ",100.00
58787,224992,SNR/DSBL,SA,100.00
58790,71972,SNR/DSBL,"SA   ",100.00
58849,88570,SNR/DSBL,SA,100.00
58887,27917,EX,"GOVT ",
58913,220370,SNR/DSBL,"SA   ",100.00
58941,439995,SNR/DSBL,SA,100.00
58946,57755,SNR/DSBL,SA,100.00
58953,168069,SNR/DSBL,SA,100.00
58966,53753,SNR/DSBL,SA,100.00
58970,94819,SNR/DSBL,"SA   ",100.00
58990,132674,SNR/DSBL,"SA   ",100.00
59003,185271,SNR/DSBL,SA,100.00
59007,211783,SNR/DSBL,SA,100.00
59012,449753,SNR/DSBL,SA,100.00
59021,224248,SNR/DSBL,SA,100.00
59024,451262,SNR/DSBL,SA,100.00
59032,156390,SNR/DSBL,SA,100.00
59057,219003,SNR/DSBL,SA,100.00
59064,453388,SNR/DSBL,"SA   ",100.00
59069,218191,SNR/DSBL,"SA   ",100.00
59104,153923,SNR/DSBL,SA,100.00
59111,179430,SNR/DSBL,"SA   ",100.00
59117,37735,SNR/DSBL,SB,100.00
59131,56040,SNR/DSBL,SA,100.00
59150,65583,SNR/DSBL,"SA   ",100.00
59159,157715,SNR/DSBL,"SA   ",100.00
59162,161208,SNR/DSBL,SA,100.00
59195,420035,SNR/DSBL,"SA   ",100.00
59208,58048,SNR/DSBL,"SA   ",100.00
59214,455589,SNR/DSBL,"SA   ",100.00
59216,192710,SNR/DSBL,SA,100.00
59226,468325,SNR/DSBL,SA,100.00
59239,27917,EX,"GOVT ",
59267,17837,EX,UTL,100.00
59268,17839,EX,UTL,100.00
59271,91091,EX,DOR,100.00
59272,91091,EX,DOR,100.00
59273,91091,EX,DOR,100.00
59300,13638,SNR/DSBL,SA,100.00
59318,470329,SNR/DSBL,SA,100.00
59319,99121,SNR/DSBL,SA,50.00
59328,17840,EX,UTL,100.00
59364,167599,SNR/DSBL,SA,100.00
59378,109901,EX,"GOVT ",
59379,140018,EX,"GOVT ",
59386,175879,SNR/DSBL,SA,100.00
59445,99456,SNR/DSBL,SA,100.00
59488,199468,SNR/DSBL,SA,100.00
59489,467399,SNR/DSBL,SA,100.00
59496,27917,EX,"GOVT ",
59501,167519,SNR/DSBL,SA,100.00
59517,47067,EX,"GOVT ",
59520,47062,EX,"GOVT ",
59531,17839,EX,UTL,100.00
59568,126941,EX,"GOVT ",
59569,86984,EX,"GOVT ",
59571,83186,EX,UTL,100.00
59582,126941,EX,"GOVT ",
59583,126941,EX,"GOVT ",
59584,126941,EX,"GOVT ",
59585,86971,EX,"GOVT ",
59586,86970,EX,"GOVT ",
59588,126941,EX,"GOVT ",
59601,126941,EX,"GOVT ",
59602,126941,EX,"GOVT ",
59607,126941,EX,"GOVT ",
59608,126941,EX,"GOVT ",
59614,27854,EX,"GOVT ",
59638,463736,DOR,,100.00
59645,23436,SNR/DSBL,SA,100.00
59646,104542,EX,GOVT,100.00
59669,147410,SNR/DSBL,SB,100.00
59676,93079,SNR/DSBL,SB,100.00
59714,24604,SNR/DSBL,SC,100.00
59718,115458,SNR/DSBL,SB,100.00
59719,109572,EX,"GOVT ",
59721,47044,EX,"GOVT ",
59807,38093,SNR/DSBL,"SA   ",100.00
59814,13113,SNR/DSBL,SA,100.00
59827,164438,SNR/DSBL,"SA   ",48.44
60090,217602,SNR/DSBL,SA,100.00
60097,474419,SNR/DSBL,SC,100.00
60110,117483,SNR/DSBL,SB,100.00
60112,35304,SNR/DSBL,"SA   ",100.00
60114,27857,EX,"GOVT ",
60134,163474,SNR/DSBL,"SA   ",100.00
60152,67041,SNR/DSBL,SC,100.00
60180,463795,SNR/DSBL,SA,100.00
60234,226042,SNR/DSBL,SA,100.00
60252,98267,SNR/DSBL,SA,100.00
60304,139226,SNR/DSBL,"SA   ",100.00
60305,424451,SNR/DSBL,SC,100.00
60306,65779,SNR/DSBL,SA,100.00
60309,16088,SNR/DSBL,SA,100.00
60344,49842,SNR/DSBL,SB,100.00
60346,127220,SNR/DSBL,"SA   ",100.00
60426,136372,SNR/DSBL,"SA   ",100.00
60427,452395,SNR/DSBL,SA,100.00
60431,170084,SNR/DSBL,SA,100.00
60446,451321,SNR/DSBL,SC,100.00
60506,30724,EX,DOR,100.00
60576,27694,EX,DOR,100.00
60577,27693,EX,DOR,100.00
60578,27692,EX,DOR,100.00
60579,27693,EX,DOR,100.00
60620,119582,EX,DOR,100.00
60666,96168,SNR/DSBL,"SA   ",100.00
60727,220750,SNR/DSBL,SA,100.00
60745,466328,SNR/DSBL,"SA   ",100.00
60762,158543,SNR/DSBL,SA,100.00
60774,24056,SNR/DSBL,"SA   ",100.00
60806,39376,SNR/DSBL,SB,100.00
60825,443090,SNR/DSBL,SA,100.00
60846,103712,SNR/DSBL,SA,100.00
60873,75931,SNR/DSBL,SA,100.00
60910,193510,SNR/DSBL,"SA   ",.00
60912,47044,EX,"GOVT ",
61039,116994,SNR/DSBL,SA,100.00
61043,123810,SNR/DSBL,SA,100.00
61056,102434,EX,"GOVT ",
61059,102434,EX,"GOVT ",
61066,27917,EX,"GOVT ",
61075,35026,SNR/DSBL,SA,100.00
61077,222274,SNR/DSBL,SA,100.00
61081,134673,SNR/DSBL,SA,50.00
61094,192340,SNR/DSBL,SB,100.00
61095,206209,SNR/DSBL,SC,100.00
61097,133736,SNR/DSBL,SA,100.00
61101,169206,SNR/DSBL,SB,100.00
61107,27917,EX,"GOVT ",
61115,457938,SNR/DSBL,SA,100.00
61119,27917,EX,"GOVT ",
61121,117978,EX,"GOVT ",
61124,27917,EX,"GOVT ",
61146,47067,EX,"GOVT ",
61147,160325,EX,UTL,100.00
61148,47062,EX,"GOVT ",
61149,102423,EX,"GOVT ",
61164,199219,EX,"GOVT ",
286544,164353,SNR/DSBL,SA,100.00
286585,170816,SNR/DSBL,"SA   ",100.00
286677,161698,HOF,HOF,100.00
286698,166787,SNR/DSBL,SB,100.00
286703,138689,SNR/DSBL,SA,100.00
286769,27917,EX,"GOVT ",
286770,138043,EX,GOVT,100.00
286861,461875,SNR/DSBL,SA,100.00
286991,27895,EX,"GOVT ",
287002,86969,EX,"GOVT ",
287003,86969,EX,"GOVT ",
287018,166627,SNR/DSBL,SB,100.00
287030,187961,SNR/DSBL,SA,100.00
287043,184496,SNR/DSBL,SA,50.00
287062,27706,DOR,,100.00
287107,202703,EX,DOR,100.00
287112,162274,U500,,
287113,202703,EX,DOR,100.00
287141,14582,EX,"GOVT ",
287151,164488,SNR/DSBL,"SA   ",100.00
287163,481750,SNR/DSBL,SA,100.00
287202,105004,SNR/DSBL,SA,100.00
287203,189347,SNR/DSBL,SC,100.00
287274,32576,EX,"GOVT ",
287387,438141,SNR/DSBL,SB,100.00
287399,211760,U500,,
287407,446593,EX,DOR,100.00
287419,27895,EX,"GOVT ",
287424,163343,U500,,
287448,481046,SNR/DSBL,SB,100.00
287461,179995,HOF,HOF,100.00
287462,163441,U500,,
287513,426403,DOR,,100.00
287561,421485,U500,,
287563,117800,SNR/DSBL,SA,100.00
287579,72183,SNR/DSBL,SA,100.00
287651,27854,EX,"GOVT ",
287661,92605,SNR/DSBL,SA,100.00
287665,27895,EX,"GOVT ",
287691,44776,SNR/DSBL,SA,100.00
287697,164149,HOF,HOF,
287735,164323,DOR,,100.00
287761,163168,DOR,,100.00
287763,163168,DOR,,100.00
287794,88158,EX,"GOVT ",
287858,470915,DOR,,100.00
287921,27895,EX,CIT,100.00
287922,27895,EX,"GOVT ",
287969,426810,SNR/DSBL,SA,100.00
288034,27895,EX,"GOVT ",
288113,211927,SNR/DSBL,SA,100.00
288121,431468,SNR/DSBL,SA,100.00
288122,176467,SNR/DSBL,SA,100.00
288138,174426,SNR/DSBL,SA,100.00
288166,190237,SNR/DSBL,SB,100.00
288176,418193,SNR/DSBL,SC,100.00
288446,192175,SNR/DSBL,"SA   ",100.00
288463,427477,SNR/DSBL,SA,100.00
288495,91028,EX,DOR,100.00
288510,27895,EX,"GOVT ",
288683,166859,U500,,
288706,166937,U500,,
288722,167015,U500,,
288771,93145,HOF,HOF,100.00
288786,102434,EX,"GOVT ",
288789,221590,SNR/DSBL,SA,33.33
288819,157450,EX,GOVT,100.00
288820,27854,EX,"GOVT ",
288822,17664,EX,"GOVT ",
288826,167651,SNR/DSBL,SA,100.00
288927,217389,U500,,
288958,157991,U500,,
288972,211535,HOF,HOF,100.00
289008,135358,EX,"GOVT ",
289023,189480,SNR/DSBL,SA,100.00
289024,129286,SNR/DSBL,SA,100.00
289055,223652,SNR/DSBL,SA,100.00
289069,27895,EX,"GOVT ",
289070,27895,EX,"GOVT ",
289071,27895,EX,"GOVT ",
289073,27895,EX,"GOVT ",
289236,27895,EX,"GOVT ",
289312,27895,EX,"GOVT ",
289316,61597,EX,"GOVT ",
289328,168912,U500,,
289366,179208,SNR/DSBL,SC,100.00
289372,178744,SNR/DSBL,"SA   ",100.00
289467,194970,SNR/DSBL,SA,100.00
289483,27895,EX,"GOVT ",
289489,35062,EX,"GOVT ",
289525,18337,SNR/DSBL,EX(DOR),46.96
289528,145160,EX,GOVT,100.00
289530,145160,EX,GOVT,100.00
289533,17702,EX,"GOVT ",
289566,61588,EX,"GOVT ",
289588,173190,SNR/DSBL,SB,100.00
289590,226120,SNR/DSBL,"SA   ",100.00
289590,453840,SNR/DSBL,SA,100.00
289599,467838,SNR/DSBL,SB,100.00
289621,225160,SNR/DSBL,SB,100.00
289643,61597,EX,"GOVT ",
289667,169733,SNR/DSBL,SA,100.00
289737,22858,SNR/DSBL,SA,100.00
289756,157450,EX,GOVT,100.00
289758,157450,EX,GOVT,100.00
289760,442697,SNR/DSBL,SB,100.00
289788,426281,EX,DOR,100.00
289849,481410,HOF,HOF,100.00
290005,473846,SNR/DSBL,SB,100.00
290045,130025,EX,"GOVT ",
290047,86956,EX,GOVT,100.00
290064,47062,EX,"GOVT ",
290065,440977,SNR/DSBL,SA,100.00
290071,171881,EX,DOR,100.00
290091,100964,SNR/DSBL,"SA   ",100.00
290130,171005,SNR/DSBL,"SA   ",100.00
290142,47062,EX,"GOVT ",
290163,187123,U500,,
290165,447695,SNR/DSBL,SA,100.00
290170,27684,EX,DOR,100.00
290175,171176,U500,,
290192,146302,SNR/DSBL,SA,100.00
290214,91028,EX,DOR,100.00
290244,171673,U500,,
290346,223352,SNR/DSBL,SC,100.00
290428,199435,SNR/DSBL,SA,100.00
290529,196451,SNR/DSBL,"SA   ",100.00
290554,214367,SNR/DSBL,"SA   ",100.00
290556,184101,SNR/DSBL,"SA   ",100.00
290578,195619,SNR/DSBL,SC,100.00
290605,440790,EX,DOR,100.00
290645,453350,SNR/DSBL,SA,100.00
290646,174669,SNR/DSBL,SC,100.00
290678,179070,SNR/DSBL,SC,100.00
290780,288369,SNR/DSBL,SA,100.00
290785,130310,SNR/DSBL,SA,100.00
290809,27895,EX,"GOVT ",
291024,62416,EX,GOVT,100.00
291081,32576,EX,"GOVT ",
291094,177891,SNR/DSBL,"SB   ",100.00
291102,61595,EX,"GOVT ",
291215,62415,EX,"GOVT ",
291308,126941,EX,"GOVT ",
291336,288774,SNR/DSBL,SA,100.00
291365,435924,U500,,
291369,435925,U500,,
291392,86969,EX,"GOVT ",
291393,86969,EX,"GOVT ",
291426,174084,HOF,HOF,100.00
291451,35061,EX,"GOVT ",
291500,47124,EX,DOR,100.00
291510,27917,EX,"GOVT ",
291549,198479,SNR/DSBL,SB,100.00
291561,458911,DOR,,100.00
291585,27895,EX,"GOVT ",
291586,27895,EX,"GOVT ",
291616,225420,SNR/DSBL,SC,100.00
291653,176851,SNR/DSBL,"SA   ",100.00
291741,27895,EX,"GOVT ",
291785,456859,SNR/DSBL,SA,100.00
291825,424777,SNR/DSBL,SA,100.00
291827,215909,SNR/DSBL,SA,100.00
291842,27917,EX,"GOVT ",
291862,97769,SNR/DSBL,SB,100.00
291901,133997,EX,DOR,100.00
291916,27854,EX,"GOVT ",
292059,27895,EX,"GOVT ",
292073,446467,SNR/DSBL,SA,100.00
292101,210501,SNR/DSBL,SB,100.00
10010,47044,EX,"GOVT ",
10011,47044,EX,"GOVT ",
10012,47044,EX,"GOVT ",
10013,47044,EX,"GOVT ",
10014,47053,EX,"GOVT ",
10030,47062,EX,"GOVT ",
10033,47062,EX,"GOVT ",
10042,47044,EX,"GOVT ",
10062,130025,EX,"GOVT ",
10063,88068,EX,"GOVT ",
10069,145160,EX,DOR,100.00
10070,423531,SNR/DSBL,SA,100.00
10072,88061,EX,"GOVT ",
10073,479847,EX,"GOVT ",
10075,88000,EX,"GOVT ",
10081,178694,SNR/DSBL,"SA   ",100.00
10149,215185,SNR/DSBL,SA,100.00
10150,187024,SNR/DSBL,SA,100.00
10170,427423,SNR/DSBL,SA,100.00
10181,27021,SNR/DSBL,SA,100.00
10205,418742,EX,"GOVT ",
10210,15423,SNR/DSBL,SA,100.00
10217,74453,SNR/DSBL,SA,100.00
10221,88063,EX,"GOVT ",
10222,418742,EX,"GOVT ",
10234,35117,SNR/DSBL,SA,100.00
10248,144315,SNR/DSBL,SB,100.00
10297,215108,SNR/DSBL,SA,100.00
10299,24024,SNR/DSBL,"SA   ",100.00
10306,134448,EX,DOR,100.00
10310,27697,EX,DOR,100.00
10315,88062,EX,"GOVT ",
10316,88066,EX,"GOVT ",
10318,87997,EX,DOR,100.00
10319,87996,EX,DOR,100.00
10320,88064,EX,"GOVT ",
10333,88065,EX,"GOVT ",
10358,149817,SNR/DSBL,SA,100.00
10361,204791,SNR/DSBL,SA,100.00
10374,47077,EX,"GOVT ",
10377,61589,EX,GOVT,100.00
10378,61589,EX,GOVT,100.00
10379,17696,EX,GOVT,100.00
10380,160325,EX,UTL,100.00
10381,160325,EX,UTL,100.00
10382,160325,EX,UTL,100.00
10383,160325,EX,UTL,100.00
10384,160325,EX,UTL,100.00
10385,418742,EX,"GOVT ",
10389,131818,SNR/DSBL,SA,100.00
10395,418742,EX,"GOVT ",
10405,17828,EX,UTL,100.00
10406,418742,EX,"GOVT ",
10407,88159,EX,"GOVT ",
10408,88159,EX,"GOVT ",
10409,17828,EX,UTL,100.00
10410,17828,EX,DOR,100.00
10414,17839,EX,GOVT,100.00
10427,173892,SNR/DSBL,SA,100.00
10440,88063,EX,"GOVT ",
10441,47044,EX,"GOVT ",
10450,88063,EX,"GOVT ",
10472,32437,SNR/DSBL,SA,100.00
10490,118536,SNR/DSBL,SA,100.00
10500,434669,SNR/DSBL,SA,100.00
10503,217944,EX,DOR,100.00
10504,217944,EX,DOR,100.00
10505,217944,EX,DOR,100.00
10506,192707,EX,"GOVT ",
10507,192707,EX,GOVT,100.00
10509,418742,EX,"GOVT ",
10512,185987,EX,"GOVT ",
10539,10915,EX,DOR,100.00
10575,418742,EX,"GOVT ",
10585,158636,EX,"GOVT ",
10599,448704,SNR/DSBL,SA,100.00
10602,78526,SNR/DSBL,"SA   ",100.00
10619,88046,EX,DOR,100.00
10620,88046,EX,DOR,100.00
10621,74865,EX,DOR,100.00
10622,418742,EX,"GOVT ",
10623,109904,EX,UTL,100.00
10625,467201,EX,DOR,100.00
10635,418742,EX,"GOVT ",
10636,418742,EX,"GOVT ",
10639,418742,EX,"GOVT ",
10640,88067,EX,"GOVT ",
10644,470101,SNR/DSBL,SA,100.00
10660,418742,EX,"GOVT ",
10661,190518,EX,"GOVT ",
10662,88063,EX,"GOVT ",
10665,119543,SNR/DSBL,SA,100.00
10670,72668,SNR/DSBL,SA,100.00
10678,461327,SNR/DSBL,SA,100.00
10691,88063,EX,"GOVT ",
10697,468453,SNR/DSBL,SA,100.00
