prop_id,size_acres,size_square_feet,land_type_cd,land_soil_code,ag_use_cd,primary_use_cd
10007,450.0000,19602000.00,"5         ","Dry Agland #1                           ","AG   ",83
10007,189.4000,8250264.00,"51        ","Dry Pasture Nominal Value               ","AG   ",83
10008,358.2600,15605805.00,"5         ","Dry Agland #1                           ","AG   ",83
10008,280.0000,12196800.00,"52        ","Rangeland                               ","AG   ",83
10009,1666.0000,.00,"52        ","Rangeland                               ",,91
10010,640.0000,.00,"52        ","Rangeland                               ",,81
10011,641.3700,27938077.20,"52        ","Rangeland                               ",,81
10012,624.5800,27206704.00,"52        ","Rangeland                               ",,81
10013,22920.7300,.00,"52        ","Rangeland                               ",,81
10014,375.4600,15855840.00,"4         ","River Circle Irrigated Agland #1        ",,81
10014,172.7900,7526732.40,"51        ","Dry Pasture #1                          ",,81
10015,480.0700,20911849.20,"4         ","River Circle Irrigated Agland #1        ","AG   ",83
10015,160.9300,2178000.00,"51        ","Dry Pasture #1                          ","AG   ",83
10019,175.4300,7641730.80,"4         ","River Circle Irrigated Agland #1        ","AG   ",83
10019,51.1100,2226351.60,"4         ","Columbia River Irrigated Agland #1      ","AG   ",83
10019,248.0200,10803751.20,"52        ","Rangeland                               ","AG   ",83
10021,76.6500,5580036.00,"4         ","Columbia River Irrigated Agland #1      ","AG   ",83
10021,54.6700,.00,"4         ","Columbia River Irrigated Agland #1      ","AG   ",83
10021,30.5200,1469714.40,"52        ","Rangeland                               ","AG   ",83
10022,.1000,4356.00,"4         ","River Circle Irrigated Agland #1        ","AG   ",83
10025,131.9800,5749048.80,"4         ","River Circle Irrigated Agland #1        ","AG   ",83
10025,491.7600,21421065.60,"51        ","Dry Pasture #1                          ","AG   ",83
10027,107.6800,4690540.80,"51        ","Dry Pasture #1                          ","AG   ",83
10027,20.0000,871200.00,"4         ","River Circle Irrigated Agland #2        ","AG   ",83
10027,92.5000,4029300.00,"4         ","River Circle Irrigated Agland #1        ","AG   ",83
10029,80.0000,3484800.00,"52        ","Rangeland                               ","AG   ",83
10030,316.4900,13786304.00,"52        ","Rangeland                               ",,81
10031,14.0400,1742400.00,"4         ","River Circle Irrigated Agland #3        ","AG   ",83
10031,100.0000,1306800.00,"4         ","River Circle Irrigated Agland #1        ","AG   ",83
10031,225.9600,11761200.00,"52        ","Rangeland                               ","AG   ",83
10032,22.0000,958320.00,"52        ","Rangeland                               ","AG   ",83
10033,159.0000,.00,"52        ","Rangeland                               ",,81
10034,554.3800,22781880.00,"5         ","Dry Agland #1                           ","AG   ",83
10034,86.5800,5138337.60,"51        ","Dry Pasture Nominal Value               ","AG   ",83
10035,346.5000,.00,"5         ","Dry Agland #4                           ","AG   ",83
10035,13.0000,.00,"51        ","Dry Pasture Nominal Value               ","AG   ",83
10036,240.5000,.00,"5         ","Dry Agland #4                           ","AG   ",83
10036,39.5000,.00,"51        ","Dry Pasture Nominal Value               ","AG   ",83
10037,467.5900,27704160.00,"4         ","River Circle Irrigated Agland #1        ","AG   ",83
10037,170.6800,98881.20,"51        ","Dry Pasture #1                          ","AG   ",83
10038,545.4000,23757624.00,"4         ","River Circle Irrigated Agland #1        ","AG   ",83
10038,94.2000,10149480.00,"51        ","Dry Pasture #1                          ","AG   ",83
10039,465.0000,20255400.00,"4         ","River Circle Irrigated Agland #1        ","AG   ",83
10039,175.8500,7660026.00,"51        ","Dry Pasture #1                          ","AG   ",83
10040,376.5900,.00,"4         ","River Circle Irrigated Agland #1        ","AG   ",83
10040,265.8900,27986428.00,"51        ","Dry Pasture #1                          ","AG   ",83
10041,574.0000,25003440.00,"5         ","Dry Agland #1                           ","AG   ",83
10041,60.4200,2631895.20,"51        ","Dry Pasture Nominal Value               ","AG   ",83
10042,44.8400,1953230.40,"52        ","Rangeland                               ",,81
10043,83.0000,3615480.00,"4         ","Irrigated Agland #2                     ","AG   ",83
10043,213.1000,9909900.00,"51        ","Dry Pasture #2                          ","AG   ",83
10043,1.0000,43560.00,"9         ","Rural Homesite                          ","AG   ",83
10043,72.0000,3136320.00,"4         ","Irrigated Agland #1                     ","AG   ",83
10044,6.4000,278784.00,"52        ","Rangeland                               ",,81
10045,5.7800,.00,"4         ","Irrigated Agland #1                     ",,18
10046,5.0000,217800.00,"9         ",None,,18
10047,5.0000,217800.00,"9         ",None,,18
10048,8.8300,384634.80,"4         ","Irrigated Agland #1                     ","AG   ",83
10048,1.0000,.00,"9         ","Rural Homesite                          ",,83
10049,10.4700,657756.00,"4         ","Irrigated Agland #1                     ","AG   ",83
10049,8.5300,169884.00,"51        ","Dry Pasture #2                          ","AG   ",83
10049,1.0000,43560.00,"9         ","Rural Homesite                          ","AG   ",83
10051,20.0000,871200.00,"4         ","Irrigated Agland #1                     ","AG   ",83
10052,5.9200,257875.20,"9         ",None,,18
10053,8.4200,366775.20,"4         ","Irrigated Agland #1                     ","AG   ",83
10054,3.8300,166834.80,"4         ","Irrigated Agland #1                     ","AG   ",83
10054,1.0000,43560.00,"9         ","Rural Homesite                          ","AG   ",83
10055,4.3700,190357.20,"9         ",None,,18
10056,615.2300,26799418.00,"5         ","Dry Agland #3                           ","AG   ",83
10056,8.4100,366339.60,"51        ","Dry Pasture Nominal Value               ","AG   ",83
10057,620.5800,27032464.00,"5         ","Dry Agland #2                           ","AG   ",83
10058,580.0000,25264800.00,"5         ","Dry Agland #1                           ","AG   ",83
10058,2.4600,107157.60,"51        ","Dry Pasture Nominal Value               ","AG   ",83
10059,635.0000,27660600.00,"5         ","Dry Agland #1                           ","AG   ",83
10059,4.0100,257875.20,"51        ","Dry Pasture Nominal Value               ","AG   ",83
10060,591.5000,25765740.00,"5         ","Dry Agland #1                           ","AG   ",83
10060,50.0000,2178000.00,"51        ","Dry Pasture Nominal Value               ","AG   ",83
10061,605.0000,26353800.00,"5         ","Dry Agland #1                           ","AG   ",83
10061,35.0400,1526342.40,"51        ","Dry Pasture Nominal Value               ","AG   ",83
10062,2.2000,95832.00,"11        ",None,,39
10063,15.7900,687812.40,"11        ",None,,68
10064,.2062,8985.00,"9         ",None,,11
10067,.3165,13787.00,"11        ",None,,54
10068,.3166,13794.00,"9         ",None,,11
10069,.3166,13794.00,"11        ",None,,11
10070,.5510,24002.00,"9         ",None,,11
10071,.4500,19602.00,"11        ",None,,59
10072,.3446,15015.00,"11        ",None,,11
10073,6.0200,262231.20,"11        ",None,,81
10075,4.3100,187743.60,"11        ",None,,72
10076,1.2700,55321.20,"11        ",None,,59
10077,.8900,38768.40,"11        ",None,,59
10080,.2438,10620.00,"9         ",None,,11
10081,.2390,10414.00,"9         ",None,,11
10082,.3187,13883.00,"9         ",None,,11
10083,.2303,10032.00,"9         ",None,,11
10085,.4639,20209.00,"11        ",None,,65
10089,.4820,21000.00,"9         ",None,,11
10090,.2777,12100.00,"9         ",None,,11
10091,.1262,5500.00,"9         ",None,,11
10092,.0825,3595.00,"91        ",None,,11
10093,.2603,11340.00,"9         ",None,,11
10094,.2572,11205.00,"9         ",None,,11
10095,.3099,13500.00,"9         ",None,,11
10096,.1549,6750.00,"9         ",None,,11
10097,.1549,6750.00,"9         ",None,,11
10098,.2789,12150.00,"9         ",None,,11
10099,.3099,13500.00,"9         ",None,,11
10100,.2061,8978.00,"9         ",None,,11
10101,.2092,9113.00,"9         ",None,,11
10102,.1549,6750.00,"9         ",None,,11
10103,.2571,11200.00,"9         ",None,,11
10104,.2249,9800.00,"9         ",None,,11
10105,.1606,7000.00,"9         ",None,,11
10106,.2892,12600.00,"9         ",None,,11
10107,.2249,9800.00,"9         ",None,,11
10108,.2249,9800.00,"9         ",None,,11
10109,.3856,16800.00,"9         ",None,,11
10110,.2410,10500.00,"9         ",None,,11
10111,.4920,21432.00,"11        ",None,,13
10112,.1549,6750.00,"9         ",None,,11
10113,.1859,8100.00,"9         ",None,,11
10114,.2076,9045.00,"9         ",None,,11
10115,.1549,6750.00,"9         ",None,,11
10116,.1606,7000.00,"9         ",None,,11
10117,.1606,7000.00,"9         ",None,,11
10118,.2249,9800.00,"9         ",None,,11
10119,.3099,13500.00,"9         ",None,,11
10120,.1549,6750.00,"9         ",None,,11
10121,.3099,13500.00,"9         ",None,,11
10123,.1549,6750.00,"9         ",None,,11
10124,.1549,6750.00,"9         ",None,,11
10125,.1549,6750.00,"9         ",None,,11
10126,.2076,9045.00,"9         ",None,,11
10127,.2045,8910.00,"9         ",None,,11
10128,.3099,13500.00,"9         ",None,,11
10129,.2731,11900.00,"9         ",None,,11
10130,.2635,11480.00,"9         ",None,,11
10131,.2635,11480.00,"9         ",None,,11
10132,.2410,10500.00,"9         ",None,,11
10133,.1606,7000.00,"9         ",None,,11
10134,.3213,14000.00,"9         ",None,,11
10135,.2410,10500.00,"9         ",None,,11
10136,.2410,10500.00,"9         ",None,,11
10137,.2410,10500.00,"9         ",None,,11
10138,.3213,14000.00,"9         ",None,,11
10139,.1549,6750.00,"9         ",None,,11
10141,.1549,6750.00,"9         ",None,,11
10142,.1549,6750.00,"9         ",None,,11
10143,.1549,6750.00,"9         ",None,,11
10144,.2076,9045.00,"9         ",None,,11
10145,.2121,9240.00,"9         ",None,,11
10146,.1928,8400.00,"9         ",None,,11
10147,.2410,10500.00,"9         ",None,,11
10148,.3099,13500.00,"9         ",None,,11
10149,.3099,13500.00,"9         ",None,,11
10150,.1652,7200.00,"9         ",None,,11
10151,.1767,7700.00,"9         ",None,,11
10152,.2330,10150.00,"9         ",None,,11
10153,.3099,13500.00,"9         ",None,,11
10154,.2789,12150.00,"9         ",None,,11
10155,.2850,12418.00,"9         ",None,,11
10156,.3503,15260.00,"9         ",None,,12
10157,.1561,6800.00,"9         ",None,,11
10159,.2892,12600.00,"9         ",None,,11
10160,.2789,12150.00,"9         ",None,,11
10161,.3099,13500.00,"9         ",None,,11
10162,.2500,10890.00,"9         ",None,,11
10163,.4493,19575.00,"9         ",None,,11
10164,.3776,16450.00,"9         ",None,,11
10165,.3213,14000.00,"9         ",None,,11
10166,.3162,13775.00,"9         ",None,,11
10167,.3099,13500.00,"9         ",None,,11
10168,.3873,16875.00,"9         ",None,,11
10169,.3213,14000.00,"9         ",None,,11
10170,.3099,13500.00,"9         ",None,,11
10172,.4660,20300.00,"9         ",None,,12
10173,.2603,11340.00,"9         ",None,,11
10174,.1157,5040.00,"91        ",None,,11
10175,.3294,14350.00,"9         ",None,,11
10176,.4023,17528.00,"9         ",None,,11
10177,.1372,5978.00,"9         ",None,,11
10178,.3509,15288.00,"9         ",None,,11
10179,.2056,8960.00,"9         ",None,,11
10180,.4327,18850.00,"9         ",None,,11
10181,.4327,18850.00,"9         ",None,,11
10182,.3879,16900.00,"9         ",None,,11
