prop_id,owner_id
10007,471972
10008,165513
10009,47041
10010,47044
10011,47044
10012,47044
10013,47044
10014,47053
10015,431703
10019,456364
10021,456364
10022,46029
10025,134427
10027,134427
10029,134427
10030,47062
10031,453656
10032,453656
10033,47062
10034,202528
10035,55104
10036,55105
10037,124117
10038,134427
10039,134427
10040,134427
10041,431777
10042,47044
10043,202528
10044,453656
10045,202528
10046,425695
10047,111998
10048,475421
10049,202528
10051,91508
10052,46203
10053,141443
10054,91507
10055,22280
10056,180964
10057,425376
10058,425376
10059,166080
10060,38267
10061,200754
10062,130025
10063,88068
10064,444425
10067,435170
10068,20769
10069,145160
10070,423531
10071,167697
10072,88061
10073,479847
10075,88000
10076,38353
10077,120768
10080,442351
10081,178694
10082,468482
10083,201866
10085,480515
10089,218663
10090,454724
10091,138229
10092,162991
10093,427614
10094,424415
10095,449191
10096,465166
10097,139271
10098,21090
10099,197492
10100,208463
10101,67481
10102,110817
10103,470125
10104,435297
10105,458282
10106,480824
10107,112933
10108,471929
10109,429315
10110,153589
10111,419102
10112,432488
10113,468402
10114,179298
10115,453521
10116,420746
10117,216564
10118,166220
10119,181758
10120,139990
10121,84870
10123,436205
10124,457378
10125,142970
10126,437495
10127,463536
10128,54571
10129,455789
10130,477283
10131,133100
10132,26574
10133,421331
10134,186511
10135,12853
10136,69385
10137,143873
10138,447835
10139,475138
10141,134759
10142,13870
10143,54228
10144,168137
10145,451952
10146,128611
10147,58916
10148,471160
10149,215185
10150,187024
10151,208171
10152,425839
10153,50857
10154,477874
10155,422279
10156,59086
10157,18667
10159,53060
10160,217832
10161,440096
10162,132774
10163,453725
10164,154259
10165,178752
10166,171306
10167,448283
10168,159779
10169,45686
10170,427423
10172,130310
10173,467445
10174,462993
10175,68749
10176,126278
10177,126278
10178,44043
10179,462993
10180,215245
10181,27021
10182,210445
10183,135289
10184,183262
10185,438519
10188,111204
10189,418164
10190,465536
10191,92685
10192,442434
10193,67949
10194,452559
10195,74774
10196,162015
10197,288592
10198,425909
10199,462050
10200,479918
10201,108937
10202,221459
10203,141286
10204,43994
10205,418742
10206,110356
10207,438772
10208,40052
10209,459077
10210,15423
10211,141642
10212,194331
10213,201205
10214,144129
10215,56383
10216,167697
10217,74453
10218,178749
10219,180500
10221,88063
10222,418742
10223,120768
10225,162991
10226,468010
10227,465249
10228,188237
10229,463459
10230,456064
10231,195394
10232,88761
10233,140347
10234,35117
10237,139340
